,Agricultural Demand|Crops,Agricultural Demand|Livestock,Agricultural Production|Crops|Energy,Agricultural Production|Crops|Non-Energy,Agricultural Production|Livestock,Capacity|Electricity,Capacity|Electricity|Biomass,Capacity|Electricity|Coal,Capacity|Electricity|Gas,Capacity|Electricity|Hydro,Capacity|Electricity|Nuclear,Capacity|Electricity|Oil,Capacity|Electricity|Other,Capacity|Electricity|Solar,Capacity|Electricity|Solar|CSP,Capacity|Electricity|Solar|PV,Capacity|Electricity|Wind,Capacity|Electricity|Wind|Offshore,Capacity|Electricity|Wind|Onshore,Consumption,Emissions|BC,Emissions|CH4,Emissions|CH4|Land Use,Emissions|CO,Emissions|CO2,Emissions|CO2|Carbon Capture and Storage,Emissions|CO2|Carbon Capture and Storage|Biomass,Emissions|CO2|Fossil Fuels and Industry,Emissions|CO2|Land Use,Emissions|F-Gases,Emissions|Kyoto Gases,Emissions|N2O,Emissions|N2O|Land Use,Emissions|NH3,Emissions|NOx,Emissions|OC,Emissions|Sulfur,Emissions|VOC,Energy Service|Transportation|Freight,Energy Service|Transportation|Passenger,Final Energy,Final Energy|Electricity,Final Energy|Gases,Final Energy|Heat,Final Energy|Hydrogen,Final Energy|Industry,Final Energy|Liquids,Final Energy|Residential and Commercial,Final Energy|Solar,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Traditional,Final Energy|Solids|Coal,Final Energy|Transportation,GDP|PPP,Land Cover|Built-up Area,Land Cover|Cropland,Land Cover|Forest,Land Cover|Pasture,Population,Price|Carbon,Primary Energy,Primary Energy|Biomass,Primary Energy|Biomass|Traditional,Primary Energy|Biomass|w/ CCS,Primary Energy|Biomass|w/o CCS,Primary Energy|Coal,Primary Energy|Coal|w/ CCS,Primary Energy|Coal|w/o CCS,Primary Energy|Fossil,Primary Energy|Fossil|w/ CCS,Primary Energy|Fossil|w/o CCS,Primary Energy|Gas,Primary Energy|Gas|w/ CCS,Primary Energy|Gas|w/o CCS,Primary Energy|Hydro,Primary Energy|Non-Biomass Renewables,Primary Energy|Nuclear,Primary Energy|Oil,Primary Energy|Oil|w/ CCS,Primary Energy|Oil|w/o CCS,Primary Energy|Other,Primary Energy|Solar,Primary Energy|Wind,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,Secondary Energy|Electricity|Biomass|w/o CCS,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,Secondary Energy|Electricity|Coal|w/o CCS,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Hydro,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Nuclear,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Wind,Secondary Energy|Gases,Secondary Energy|Gases|Natural Gas,Secondary Energy|Heat,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Biomass,Secondary Energy|Hydrogen|Biomass|w/ CCS,Secondary Energy|Hydrogen|Biomass|w/o CCS,Secondary Energy|Hydrogen|Electricity,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,Secondary Energy|Liquids|Biomass|w/o CCS,Secondary Energy|Liquids|Oil,Secondary Energy|Solids
2005,893.7802287597657,88.94856152915955,0.1992854449450969,978.570814453125,94.192625,2245.238880859375,56.13864931964875,519.4024859313965,614.3038918762207,440.447896484375,323.872197265625,229.11058840179444,4.994419670104981,4.733101443756372,0.4082013940699398,4.324900049686432,52.23570036625863,0.6842001221179962,51.55150024414063,20893.871635198597,1.7357367426156998,74.80470526218414,31.702416435349733,137.0014083189751,13122.824741284943,0.0,0.0,13387.76180406846,21.52382283579885,472.4999113082886,16317.674987792969,2859.828747650571,1676.901662886468,12.798493746633596,36.32168146432234,3.835341900587082,25.882772982120517,27.242009574896656,13399.995430896524,20283.04097056389,161.04258349609376,30.34767138671875,34.4987428894043,2.3751009035110475,1.3396089155634743e-09,35.78358374023438,83.22645605275036,55.70320205688476,0.0150696003199555,10.594621978759768,4.460148452758789,4.460148452758789,6.134473526000977,54.88385754394531,32689.565490722656,36.51722514648438,438.669474609375,1096.2841878906252,751.1127035644531,1087.290521621704,0.0,213.2478024902344,8.528711752653122,4.460148452758789,0.0,8.528711639404296,44.89609796142578,0.0,44.89609796142578,191.65819653320312,0.0,191.65819653320312,54.466518493652345,0.0,54.466518493652345,4.68560864,5.149033060576172,8.022819680000001,92.295580078125,0.0,92.295580078125,0.1109556,0.0150696,0.3373992205761719,36.177147008,0.6971311756308594,0.0,0.6971311756308594,13.741484827,0.0,13.741484827,6.8630517310000005,0.0,6.8630517310000005,4.68560864,5.149033060576172,8.022819680000001,1.7036321905,0.0150696,0.3373992195761718,34.4987428894043,34.4987428894043,2.98663566336084,1.4787777409454414e-09,1.222033257363364e-11,0.0,1.222033257363364e-11,9.111666976480138e-19,83.22645605275036,0.7132820415198803,0.7132820415198803,82.51317401123046,8.509574429512025
2010,922.124802246094,90.93259223556518,0.2761879739761352,1008.556712890625,97.20554907226564,2425.9717421875,64.96672140598298,515.2648078994752,653.3314180297851,456.2481884765625,325.353697265625,232.36154139709475,6.233699974060059,37.92079994487762,1.2125,36.70829994487762,134.29050932693482,3.0422000007629397,131.2483093261719,21882.486045360565,1.4768763110041618,74.11626744270325,32.47850428143283,117.1718912751974,11729.288509163627,0.0,0.0,12580.703748501835,-565.6610647340201,577.2926502227783,15005.41390991211,2838.6826856228213,1697.3989660959296,12.94955359764999,30.71030511441929,3.737182274460793,19.75297313928604,22.380436670966446,13837.89277813048,19474.693298339844,155.84135034179687,31.41549969482422,33.77546374511719,2.3569806604385377,1.0238686967879996e-05,35.20379260253906,78.12145737310836,54.79342457580567,0.1133495988547802,10.171960898377002,4.548736487366259,4.410535270690918,5.623224411010742,52.26360217285156,34233.31494140625,33.21851508789062,435.284281640625,1104.9876808593751,746.8790248535157,1120.4041347503662,0.0,205.12442382812503,10.063957973480225,4.410535270690918,0.0,10.0639580078125,41.05047894287109,0.0,41.05047894287109,181.3110908813477,0.0,181.3110908813477,56.7195528564453,0.0,56.7195528564453,4.8935631520000005,6.1049955915,7.778765184000001,83.54105908203124,0.0,83.54105908203124,0.1343988,0.1133496,0.9636840395,36.648008512,0.9423796698125,0.0,0.9423796698125,12.629398041000002,0.0,12.629398041000002,8.272690346000001,0.0,8.272690346000001,4.8935631520000005,6.1049955915,7.778765184000001,0.9197790621015628,0.1133496,0.9636839435,33.77546374511719,33.77546374511719,3.3116839407500005,4.413318936766357e-08,4.973518938797384e-11,0.0,4.973518938797384e-11,1.141414863020234e-18,78.12145737310836,1.1348846497196785,1.1348846497196785,76.98657272338868,8.118406288124621
2020,1041.6105893554688,103.71848701477052,2.581900616645813,1154.728580078125,111.88830615234374,2861.56157421875,71.3494111661911,533.3576952819825,843.7100361328125,490.06461816406255,333.65944899177555,161.9741302947998,9.767472093202176,170.9687961654663,4.093706565856934,166.8750895996094,246.7103873746395,11.138645919561387,235.57174145507813,27787.76186704636,1.0881148763000963,79.7222021818161,36.34148397564422,103.01924926557676,12557.48886985497,0.0,0.0,13090.154665619137,-238.6178474339593,779.1198177337646,16235.5078125,3039.744688567428,1863.2940502126228,14.20558285067354,23.573405676575533,3.7862271443009377,13.609130859375,15.897598740906687,16931.60182281281,23739.453196525574,167.3370830078125,35.924859375000004,38.86205285644532,2.4510077838897706,0.0012456667032032,36.86727770996094,78.80345446624123,58.18243426513672,1.0851650655269678,11.294459951877595,4.577591177463531,3.8728287448883054,6.716868774414063,57.360961547851566,43350.03198242188,39.35735439453126,455.98085664062506,1087.22286171875,744.2075811279298,1195.7613487243652,0.0,218.82171826171876,11.755834703445434,3.872828622817993,0.0,11.755834777832032,42.10714050292968,0.0,42.10714050292968,189.7968375244141,0.0,189.7968375244141,65.16000292968751,0.0,65.16000292968751,5.3289116320000005,9.479502014341186,7.99645007690625,82.52969409179688,0.0,82.52969409179688,0.2068592606439209,1.085165040515625,2.8585660811816407,41.007576192,0.780163106,0.0,0.780163106,12.755816267,0.0,12.755816267,9.174349155000002,0.0,9.174349155000002,5.3289116320000005,9.479502014341186,7.99645007690625,0.821289056,1.085165040527344,2.8585660811816407,38.86205285644532,38.86205285644532,3.5018713505,0.000966322211745408,1.413935579175359e-07,0.0,1.413935579175359e-07,5.359237121387317e-15,78.80345446624123,2.6289678939756125,2.6289678939756125,76.17448657226564,9.87263899087906
2030,1161.7158603515625,118.12267750930786,13.44160362303257,1285.301470703125,129.0263505859375,3295.12603125,56.80642691994261,593.87936651121,1212.240247865082,520.2252783203126,328.6000770645141,116.2666364765264,23.55681586456299,197.43833631896973,4.1920235748291015,193.24631274414065,246.11286688542367,10.552755069017412,235.56011181640625,36674.60775375366,0.6113629192113876,90.17551445961,39.700190066923824,67.91743549727714,13430.498223572027,0.0,0.0,14198.736403867602,-461.1981198860494,814.0258731842041,17489.775146484375,3325.0392229003696,2029.94476689455,15.543940152108403,14.574959932896434,3.1034446619451046,6.9815740287303925,11.280696028754392,20181.84006609954,28535.04836559296,182.862306640625,43.52738488769531,49.77296533203125,2.677779531478882,0.471395639475435,41.5485556640625,72.31631217912842,67.84756396484374,1.482580913563457,14.096471069335935,5.770557891845703,3.412728731155396,8.325913177490234,59.553788208007816,57618.89636230469,46.24135595703125,467.297354296875,1071.01678125,741.3134085937501,1285.305305480957,0.0,242.967466796875,17.996471223831175,3.412728731155396,0.0,17.99647119140625,47.4722548828125,0.0,47.4722548828125,206.6631032714844,0.0,206.6631032714844,87.83070654296876,0.0,87.83070654296876,5.561423488000001,10.75910584586719,8.080022333,71.36014184570314,0.0,71.36014184570314,0.5312282934062501,1.482580939,3.183873125460938,49.430268544,0.5018108911640626,0.0,0.5018108911640626,14.5778823803368,0.0,14.5778823803368,15.125954892006948,0.0,15.125954892006948,5.561423488000001,10.75910584586719,8.080022333,0.38548910759375,1.482580949,3.183873125460938,49.77296533203125,49.77296533203125,3.643391257141752,0.4958664141579308,0.00021167156365394592,0.0,0.00021167156365394592,1.975552941440632e-11,72.31631217912842,5.537603377858876,5.537603377858876,66.77870880126953,13.361521869659423
2040,1213.3155302734376,126.86048568534852,91.06423301088252,1353.4022939453123,139.5578232421875,3678.6586015625,26.724787949059824,860.931647706787,1565.1624058244956,541.4376796875,216.1849200439453,50.19359436489483,48.41857035827637,150.9806127076149,3.514790197849274,147.46582250976564,218.62456302642823,4.101374794006348,214.5231882324219,48645.46930789948,0.587678455747664,100.79024195671082,41.022013960100594,66.67261311452803,15845.648098160891,0.0,0.0,16606.814255051315,-427.38095703992025,876.2339248657227,20297.610107421875,3543.5358740815373,2106.625230997161,16.0993432528835,14.999745059466198,2.934838254004717,6.994302570819855,10.611460783109578,24165.124521474358,34380.24985790253,204.8213120117188,52.02796838378906,60.26546484375,2.7032359828948973,1.9652342166900636,46.70370947265626,70.74058593382222,77.1197095336914,1.1699359741932236,17.118823859214782,7.936883521080016,3.07320646572113,9.181940338134766,67.33157641601562,76638.84545898438,53.31645615234376,473.506611328125,1064.61350234375,741.9630348632813,1376.9613761901855,0.0,278.47814550781254,27.35486854457855,3.073206404685974,0.0,27.354869964599608,64.75548950195312,0.0,64.75548950195312,235.9932829589844,0.0,235.9932829589844,105.7675625,0.0,105.7675625,5.795156672,10.892127781890624,5.345422095,65.47023095703125,0.0,65.47023095703125,1.1075376655,1.1699360133906251,2.8194974310000003,58.522785024,0.2646292656592607,0.0,0.2646292656592607,22.141112556792528,0.0,22.141112556792528,19.66604207010553,0.0,19.66604207010553,5.795156672,10.892127781890624,5.345422095,0.2134491169609375,1.169936014390625,2.8194974310000003,60.26546484375,60.26546484375,3.633254537799385,2.2778190383681407,0.00218525421875,0.0,0.00218525421875,2.9331526905298234e-09,70.74058593382222,8.982636043685488,8.982636043685488,61.75794989013672,16.748853376388553
2050,1272.0670822753905,135.61127479934692,220.9640060577896,1435.021474609375,150.08928979492188,4285.559390625001,8.086317988850839,1286.1300974519652,1808.148917482211,544.7560195312501,67.16087850952148,4.478975098146401,54.44532881164551,215.59036196232265,7.519784081463237,208.0705778808594,296.7623600951433,2.787396716237068,293.97496337890624,62808.74848365784,0.5796903669834137,108.79386138916016,42.36476478666009,70.71237624668204,18926.86090259953,0.0,0.0,19393.11111777276,-118.7957604270568,948.7290420532228,23718.302856445312,3768.0136757519713,2209.875158154295,16.737499027197188,14.99058852794415,2.9806305207312107,6.611077815294266,10.340144666650303,28581.68369787745,39993.76368522644,221.12168652343752,61.45635961914063,57.13265478515625,2.6594708223342898,3.0285884609222413,49.45560815429688,77.81919566093724,83.49027294921876,1.7330929710236629,19.025403661727907,9.461838766098024,2.84163503074646,9.563564895629884,74.62141943359376,98594.46044921876,60.473793554687504,496.241565234375,1056.254573828125,741.8652096191407,1474.218952178955,0.0,307.656693359375,30.627456609725957,2.84163503074646,0.0,30.62745849609375,88.24080688476563,0.0,88.24080688476563,263.94944482421874,0.0,263.94944482421874,103.80450439453124,0.0,103.80450439453124,5.850695072,12.663606511960133,1.66957816,71.90413354492188,0.0,71.90413354492188,1.2533991538750002,1.7330926529864998,3.826419633098633,69.408827392,0.0783729145839843,0.0,0.0783729145839843,34.012733817083934,0.0,34.012733817083934,20.924704584015657,0.0,20.924704584015657,5.850695072,12.663606511960133,1.66957816,0.0598358017265625,1.7330926529864998,3.826419633098633,57.13265478515625,57.13265478515625,3.865678931589412,3.54963730009296,0.0042696807070312,0.0,0.0042696807070312,2.7832133519230413e-08,77.81919566093725,9.63491673027318,9.63491673027318,68.18427893066406,18.84323945331573
2060,1350.970958984375,145.2779115409851,203.68688182950015,1465.6910498046875,159.3161904296875,5035.507078125,1.1777233413913717,1780.0798289582922,1947.7294101401048,547.411076171875,33.469859375,2.5440023203028908,60.47209420776368,339.45816664886473,13.985843650817872,325.4723229980469,323.16532673931124,2.967983721733093,320.1973430175781,79482.82718658447,0.5120536787435412,127.77922463417052,43.28789206064539,60.77174471940671,22056.57708940749,0.0,0.0,22718.65320263058,-303.11981143560405,1037.5817375183103,27436.260009765625,3851.0665387141134,2227.3827890227767,17.309739117485897,14.280382166128792,2.418873343616724,6.0660130977630615,10.159373555161435,33768.60796730034,45090.53361415863,241.7087958984375,73.88591918945312,62.40600927734375,2.4907838344573974,4.219845695495605,50.95222192382812,80.58915364925292,90.73538330078124,2.751726757986946,18.11705391550064,8.880358511447907,2.657404669284821,9.236695404052735,85.48394262695312,124949.67138671876,66.04802050781251,482.5781714843751,1051.738596484375,743.1385495605468,1576.1227798461914,0.0,337.4112314453125,24.53104279184341,2.657404669284821,0.0,24.531044128417967,114.18995922851562,0.0,114.18995922851562,299.21141381835935,0.0,299.21141381835935,107.7748544921875,0.0,107.7748544921875,5.8993368,14.231525874484376,0.836519182,77.24660009765624,0.0,77.24660009765624,1.3992570086875,2.751727064,4.181205001796876,82.903095296,0.0174585131745647,0.0,0.0174585131745647,48.062856685,0.0,48.062856685,19.720189080289064,0.0,19.720189080289064,5.8993368,14.231525874484376,0.836519182,0.034543591375,2.751727064,4.181205001796876,62.40600927734375,62.40600927734375,3.937047663108885,4.834029521221751,0.0052095310703125,0.0,0.0052095310703125,5.4343147698789856e-08,80.58915364925292,7.110938500327132,7.110938500327132,73.47821514892578,17.950433080673218
2070,1429.8421357421876,154.94980301856992,109.8619686268894,1492.4737636718748,168.5430869140625,5802.9325312500005,1.2677924131228684,2349.031993503996,1956.2445991203049,551.700927734375,25.277118774414063,2.523569531445848,66.49885189819337,515.1099529418946,24.22836700439453,490.8815859375,335.27718522644045,4.299076095581055,330.97810913085937,100130.81407546996,0.496701274998486,147.7808620929718,44.63855633275671,57.96385209924432,24746.132870698544,0.0,0.0,25618.22435906529,-507.2149822072173,1139.4417724609375,30739.93920898437,3892.081283597773,2231.9521319277046,17.940351367672747,13.466996362273422,2.2625402100384235,6.101592689752579,10.429357210188757,39530.04860272631,49990.01455307007,258.9477998046875,85.22276538085939,65.85959887695313,2.24706538772583,6.34779079437256,51.94837939453125,80.38981414154728,97.89509326171876,4.182828243091518,18.88072766494751,9.00765655899048,2.365030048370361,9.873071105957033,94.61859887695311,157624.26025390625,71.25702841796875,471.73405742187504,1049.173887890625,747.6188015136719,1669.2649612426758,0.0,364.1025048828125,22.84161862564087,2.365030048370361,0.0,22.84161853027344,145.18783740234375,0.0,145.18783740234375,326.13532153320307,0.0,326.13532153320307,103.18701586914062,0.0,103.18701586914062,5.9652282240000005,16.035577985812502,0.6351482540000001,77.76046826171876,0.0,77.76046826171876,1.5451181878125002,4.182827714000001,4.34240386,95.27640166400002,0.0190205050209869,0.0,0.0190205050209869,64.16171799404873,0.0,64.16171799404873,14.392964070421876,0.0,14.392964070421876,5.9652282240000005,16.035577985812502,0.6351482540000001,0.031984316703125,4.182827722000001,4.34240386,65.85959887695313,65.85959887695313,3.843022455763141,7.885963692961585,0.005917319921875,0.0,0.005917319921875,1.2190621754527097e-07,80.38981414154728,6.220227532660559,6.220227532660559,74.16958660888672,18.76276300430298
2080,1510.2521000976562,164.6264769935608,144.35149822471524,1531.34586328125,177.76998095703124,6447.03378125,1.3868553298811768,2763.1642071572765,1923.6354282796383,555.990859375,17.93906768798828,2.045932839393616,72.52562315368652,707.1975319976807,38.30145045471191,668.8960815429687,403.1487242279053,9.426195663452148,393.7225285644531,124578.6428451538,0.4522898895666003,168.9753633737564,45.92380507613416,54.51842750326792,26289.00635004616,0.0,0.0,27336.21737369895,-686.807714191658,1238.8845596313477,32927.00500488281,3942.019471319574,2281.634756902082,18.66123203153208,12.441476068343905,1.989894339814782,5.767724692821503,9.18553390847228,45709.60920676589,53576.24268531799,273.481064453125,94.1858876953125,69.8979365234375,1.9917441530227664,8.118458816528321,51.76616906738282,78.9808367401424,105.38183898925784,5.743752548691514,20.30617201137543,8.76585702419281,1.711101050376892,11.54031498718262,101.05644018554688,196350.6669921875,75.89924072265626,475.72597890625,1044.96907578125,750.6784706054688,1749.0666427612305,0.0,384.9962333984375,26.21148653316498,1.7111011724472045,0.0,26.21148153686524,167.82076611328125,0.0,167.82076611328125,341.3546669921875,0.0,341.3546669921875,99.26990966796876,0.0,99.26990966796876,6.03112736,18.6678689996875,0.453181218,74.2639912109375,0.0,74.2639912109375,1.6909909646875,5.743752695,5.20199798,104.924281344,0.0205434804746093,0.0,0.0205434804746093,75.47753745106318,0.0,75.47753745106318,10.28227711709961,0.0,10.28227711709961,6.03112736,18.6678689996875,0.453181218,0.02288470571875,5.743752679000001,5.20199798,69.8979365234375,69.8979365234375,3.530922422870044,10.266415872062751,0.00745213315625,0.0,0.00745213315625,2.369849772453308e-07,78.9808367401424,7.923632638579898,7.923632638579898,71.0572041015625,20.5868151140213
2090,1594.758958007813,174.30767865371706,214.00076995557544,1568.2296542968752,186.99687182617188,6998.293906249999,1.3016969062189907,3037.7553328134045,1988.920044673681,560.280802734375,15.739082458496092,0.87421417427063,78.55237791442872,837.8121072349549,52.09407940292358,785.7180278320313,477.0584282379151,15.296962661743164,461.7614655761719,152816.752910614,0.4203429156914353,196.6447832584381,47.4533320133778,53.608421278288816,28299.10036471457,0.0,0.0,29391.32762411982,-742.2361198691979,1281.9217376708984,35686.96875,3992.722776141475,2349.744051453331,19.46550194464281,11.511216026268304,1.9030412267893555,5.393660381436348,9.14337313231954,52351.65597591549,60103.65796089172,289.5246162109375,102.81649169921874,74.78706127929688,1.7399035532474518,12.768074798583983,50.469115722656255,75.55277426976379,110.91066149902343,6.825394506868182,21.86036074829101,8.416948791503907,1.097195411682129,13.44341195678711,111.59992504882813,241124.01123046875,79.68685615234375,482.527425390625,1039.9679640625,753.3516369140625,1809.196311950684,0.0,406.8773828125,24.51756709289551,1.097195411682129,0.0,24.517563812255855,189.4344487304688,0.0,189.4344487304688,362.9078596191407,0.0,362.9078596191407,102.31438134765624,0.0,102.31438134765624,6.0969963840000005,20.889082978125003,0.399721358,71.15902954101563,0.0,71.15902954101563,1.836824328625,6.825394277500001,6.129867988000001,113.90951808,0.019863102203125,0.0,0.019863102203125,83.12839093105339,0.0,83.12839093105339,9.461442020619142,0.0,9.461442020619142,6.0969963840000005,20.889082978125003,0.399721358,0.0110194665039062,6.825394277500001,6.129867892,74.78706127929688,74.78706127929688,3.246476869173617,15.154279146698531,0.01074953071875,0.0,0.01074953071875,4.658067766427994e-07,75.55277426976379,7.2697037131231586,7.2697037131231586,68.28307055664064,22.503068889856337
2100,1679.944470703125,183.9928958797455,192.39803450525008,1598.9429160156249,196.2237646484375,7565.14346875,1.1549160891871306,3296.866133129261,2044.5587765192984,564.5706484375,10.7111982421875,0.2103752912580967,84.57913624572754,1020.0576576538087,68.36644915771484,951.691208496094,542.4348409042359,19.99926802825928,522.4355728759766,185477.4866104126,0.3592154402285814,242.6895991563797,48.58745008434926,47.90518605024717,31407.370725308014,0.0,0.0,32453.6982023716,-704.8271408637308,1316.0818710327148,39983.154296875,4001.5317475441016,2374.4314598875667,20.1383886502741,10.776765789177205,1.6053144447505474,4.977257326245308,10.490707746503176,59515.67212166265,70764.14561271667,304.8976845703125,111.00058666992189,61.84322802734376,1.506066711425781,33.79422259521485,48.45136462402344,73.91667290258292,113.56309558105468,8.293145837038152,22.836872240543364,8.218508013248444,0.6438308892250061,14.618364227294922,125.6777685546875,292966.8916015625,82.42670439453126,479.7177746093751,1038.513483984375,756.0348854492188,1849.2229614257808,0.0,432.27492578125,24.436341173648835,0.6438308892250061,0.0,24.43633624267578,231.77359423828125,0.0,231.77359423828125,386.1561763916016,0.0,386.1561763916016,85.15873559570312,0.0,85.15873559570312,6.162863904000001,23.391592773875,0.273472926,69.22384655761718,0.0,69.22384655761718,1.9826637060000003,8.293145225000002,6.9529199388750005,122.23134771200002,0.0170831111461443,0.0,0.0170831111461443,89.69258763900001,0.0,89.69258763900001,8.853796903729005,0.0,8.853796903729005,6.162863904000001,23.391592773875,0.273472926,0.0028156653037109,8.293145225000002,6.9529199388750005,61.84322802734376,61.84322802734376,3.064601237619012,33.38164762508782,0.01629188178125,0.0,0.01629188178125,9.60558105945587e-07,73.91667290258292,7.322442189692292,7.322442189692292,66.59423071289062,23.69910806274414
