,Agricultural Demand|Crops|Energy,Agricultural Demand|Livestock,Agricultural Production|Crops|Energy,Agricultural Production|Crops|Non-Energy,Agricultural Production|Livestock,Capacity|Electricity,Capacity|Electricity|Biomass,Capacity|Electricity|Coal,Capacity|Electricity|Gas,Capacity|Electricity|Geothermal,Capacity|Electricity|Hydro,Capacity|Electricity|Nuclear,Capacity|Electricity|Solar,Capacity|Electricity|Solar|CSP,Capacity|Electricity|Solar|PV,Capacity|Electricity|Wind,Consumption,Emissions|BC,Emissions|CH4,Emissions|CH4|Fossil Fuels and Industry,Emissions|CH4|Land Use,Emissions|CO,Emissions|CO2,Emissions|CO2|Carbon Capture and Storage,Emissions|CO2|Carbon Capture and Storage|Biomass,Emissions|CO2|Fossil Fuels and Industry,Emissions|CO2|Land Use,Emissions|F-Gases,Emissions|Kyoto Gases,Emissions|N2O,Emissions|N2O|Land Use,Emissions|NH3,Emissions|NOx,Emissions|OC,Emissions|Sulfur,Emissions|VOC,Energy Service|Transportation|Freight,Energy Service|Transportation|Passenger,Final Energy,Final Energy|Electricity,Final Energy|Gases,Final Energy|Heat,Final Energy|Hydrogen,Final Energy|Liquids,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Traditional,Final Energy|Solids|Coal,Final Energy|Transportation,GDP|PPP,Harmonized Emissions|BC,Harmonized Emissions|CH4|Fossil Fuels and Industry,Harmonized Emissions|CH4|Land Use,Harmonized Emissions|CO,Harmonized Emissions|CO2|Fossil Fuels and Industry,Harmonized Emissions|CO2|Land Use,Harmonized Emissions|NH3,Harmonized Emissions|NOx,Harmonized Emissions|OC,Harmonized Emissions|Sulfur,Land Cover|Built-up Area,Land Cover|Cropland,Land Cover|Forest,Land Cover|Pasture,Population,Price|Carbon,Primary Energy,Primary Energy|Biomass,Primary Energy|Biomass|Traditional,Primary Energy|Biomass|w/ CCS,Primary Energy|Biomass|w/o CCS,Primary Energy|Coal,Primary Energy|Coal|w/ CCS,Primary Energy|Coal|w/o CCS,Primary Energy|Fossil,Primary Energy|Fossil|w/ CCS,Primary Energy|Fossil|w/o CCS,Primary Energy|Gas,Primary Energy|Gas|w/ CCS,Primary Energy|Gas|w/o CCS,Primary Energy|Geothermal,Primary Energy|Hydro,Primary Energy|Non-Biomass Renewables,Primary Energy|Nuclear,Primary Energy|Oil,Primary Energy|Oil|w/o CCS,Primary Energy|Solar,Primary Energy|Wind,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,Secondary Energy|Electricity|Biomass|w/o CCS,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,Secondary Energy|Electricity|Coal|w/o CCS,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Geothermal,Secondary Energy|Electricity|Hydro,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Nuclear,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Wind,Secondary Energy|Gases,Secondary Energy|Gases|Biomass,Secondary Energy|Gases|Coal,Secondary Energy|Gases|Natural Gas,Secondary Energy|Heat,Secondary Energy|Heat|Geothermal,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Biomass,Secondary Energy|Hydrogen|Biomass|w/ CCS,Secondary Energy|Hydrogen|Biomass|w/o CCS,Secondary Energy|Hydrogen|Electricity,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,Secondary Energy|Liquids|Biomass|w/ CCS,Secondary Energy|Liquids|Biomass|w/o CCS,Secondary Energy|Liquids|Coal,Secondary Energy|Liquids|Coal|w/ CCS,Secondary Energy|Liquids|Coal|w/o CCS,Secondary Energy|Liquids|Oil,Secondary Energy|Solids
2005,0.0,77.6454,0.0,988.1039,80.4581,2004.7,23.3949,649.4100000000001,507.31,4.1297,327.86,342.22,1.0184,0.0,1.0184,36.6196,17450.0,1.178,76.19999999999999,25.8975,29.1837,173.49259999999998,15759.0006,0.0,0.0,14538.0,1220.0306,477.92,19236.0,3776.2085,2116.8485,15.1602,39.7303,4.574300000000001,32.6392,39.2042,45744.0,21658.0,161.72,31.841,32.013,4.0226,0.126,76.544,17.174,7.6178,0.0,9.556,55.329,33923.0,,,,,,,,,,,65.2116,413.8339,1060.4328,659.6748,1187.3,0.0,225.59,12.227799999999998,0.0,0.0,12.227799999999998,51.94,0.0,51.94,199.33,0.0,199.33,53.537000000000006,0.0,53.537000000000006,0.1173,4.9093,5.3915,8.632000000000001,93.86,93.86,0.006,0.3574,38.666,0.3393,0.0,0.3393,15.2789,0.0,15.2789,7.5996,0.0,7.5996,0.1173,4.9093,5.3915,8.632000000000001,1.4237,0.006,0.3574,36.219,1.6933,0.0,33.867000000000004,4.7513000000000005,0.0,0.126,0.0,0.0,0.0,0.0,82.18299999999999,0.0,0.0,0.0,0.0,0.0,0.0,82.18299999999999,17.229999999999997
2010,2.3866,80.0241,2.3866,1064.4829,84.2233,2089.7000000000003,32.9655,576.53,556.4399999999999,5.9674,323.68,333.03,35.59,0.5,35.09,132.3,19151.0,0.9935,76.6609,25.2138,29.5319,133.4726,14090.8955,0.0,0.0,13517.0,574.3955,584.72,17612.0,3485.2263000000003,2177.9763000000003,14.8487,29.5488,3.7707,20.8912,33.432,43493.0,20749.0,156.60000000000002,32.526,30.251,3.9464,0.1405,73.779,15.957,7.8062,0.0,8.151,53.521,35346.0,,,,,,,,,,,65.2116,420.1423,1059.6384,650.8349000000001,1220.0,0.0,215.42,13.6587,0.0,0.0,13.6587,44.987,0.0,44.987,186.78,0.0,186.78,52.633,0.0,52.633,0.1694,4.9,6.5662,8.4007,89.15700000000001,89.15700000000001,0.213,1.2843,39.203,0.4780999999999999,0.0,0.4780999999999999,13.5752,0.0,13.5752,9.005,0.0,9.005,0.1694,4.9,6.5662,8.4007,1.1751,0.213,1.2843,33.895,1.9329,0.0,31.282,4.5784,0.0,0.1405,0.0,0.0,0.0,0.0,78.529,0.1352,0.0,0.1352,0.0,0.0,0.0,78.389,16.003
2020,22.5612,89.8648,22.5612,1101.4457,82.7115,2384.7,34.548500000000004,511.32,773.1700000000001,5.6909,280.91,305.95,167.82199999999995,3.1917,164.692,260.967,27150.0,0.7632000000000001,70.4551,18.9182,29.4355,121.2546,13936.9611,0.0,0.0,13951.0,-13.017399999999997,798.4200000000001,17487.0,3374.7019,2123.6419,14.9353,22.9004,3.4212,13.0759,29.7486,53577.0,26325.0,173.01999999999998,36.57,29.944,4.161599999999999,0.129,91.409,10.805,7.2094,0.0,3.5957,66.622,44598.0,0.692462670697778,36.5552255366777,28.0897559303476,110.391872766374,11872.1218135248,0.0,11.3453433678947,23.2097820403166,3.1928692913766,10.9215491726369,65.2116,417.3976,1057.4312,619.8589,1295.5,0.0,231.11,17.055500000000002,0.0,0.0,17.055500000000002,34.485,0.0,34.485,198.38,0.0,198.38,60.113,0.0,60.113,0.1615,4.3163,7.9739,7.7173,103.77,103.77,1.019,2.4774000000000003,42.894000000000005,0.5012,0.0,0.5012,12.057,0.0,12.057,14.085,0.0,14.085,0.1615,4.3163,7.973800000000001,7.7173,0.5595,1.019,2.4774000000000003,33.934999999999995,1.8543,0.0,31.113,4.7022,0.0,0.129,0.0,0.0,0.0,0.0,95.903,2.8120000000000003,0.0,2.8120000000000003,0.0209999999999999,0.0,0.0209999999999999,93.072,10.828
2030,21.7912,102.6207,21.7912,1086.7509,87.84379999999999,2626.2,37.358,571.91,1130.07,6.117900000000001,235.07,244.91,157.00699999999998,3.0119,153.96499999999995,233.892,41076.0,0.5385,79.6535,23.0204,30.7095,108.8907,16862.542699999998,0.0,0.0,16933.0,-70.9447,844.78,20610.0,3115.0759,2057.1359,14.6595,16.188399999999998,3.2099,9.1179,25.6592,70927.0,35573.0,207.53000000000003,42.57,34.582,5.0407,0.1755,117.75,7.4086,4.9964,0.0,2.4125,90.307,58641.0,0.569086175826989,43.3002786295812,29.489446555053,113.577520259368,14399.2674811032,0.0,11.4831776450861,17.9904163697183,3.22475035713535,7.20335405439332,65.2116,417.4992,1055.7709,619.684,1385.6,0.0,270.66,13.8297,0.0,0.0,13.8297,35.066,0.0,35.066,243.59,0.0,243.59,77.348,0.0,77.348,0.1735,3.6765,7.063300000000001,6.178,131.2,131.2,0.9538,2.2593,48.757,0.5690999999999999,0.0,0.5690999999999999,13.514,0.0,13.514,21.309,0.0,21.309,0.1735,3.6765,7.063300000000001,6.178,0.124,0.9538,2.2593,39.647000000000006,1.5792000000000002,0.0,36.877,5.5595,0.0,0.1755,0.0,0.0,0.0,0.0,121.84,2.3846,0.0,2.3846,0.384,0.0,0.384,119.08,7.4199
2040,17.777700000000003,115.7546,17.777700000000003,1073.6617,92.0516,3133.0,58.9539,769.4100000000001,1657.0,7.9779,199.07,182.04,108.628,2.1557000000000004,106.457,149.572,63817.0,0.4946,96.2573,35.6378,31.583,103.9913,20633.0125,0.0,0.0,20709.0,-74.7625,922.21,24832.0,2966.0332,1990.7732,14.1672,16.4444,3.1164,7.7559,23.5788,79703.0,36540.0,240.94,54.002,49.705,6.9354,0.2516,122.991,7.0965,4.3195,0.0,2.7774,94.388,80798.0,0.567725723290615,55.6596524135072,30.2975395053721,113.335664141997,17507.767025373,0.0,11.3260589492934,19.1129980635927,3.2336954578914,6.73488421927246,65.2116,417.4992,1055.7709,619.684,1477.4,0.0,316.96000000000004,11.8335,0.0,0.0,11.8335,50.038,0.0,50.038,295.04999999999995,0.0,295.04999999999995,111.405,0.0,111.405,0.2266,3.1577,5.5006,4.5923,133.61,133.61,0.6615999999999999,1.4550999999999998,60.692,1.0503,0.0,1.0503,18.2088,0.0,18.2088,31.35,0.0,31.35,0.2265,3.1577,5.5006,4.5923,0.0,0.6615999999999999,1.4550999999999998,57.698,0.9047,0.0,55.15899999999999,7.475099999999999,0.0,0.2516,0.0,0.0,0.0,0.0,125.776,1.2298,0.0,1.2298,2.9446000000000003,0.0,2.9446000000000003,121.606,7.101699999999999
2050,6.7098,127.6039,6.7098,1100.3252,91.7256,3841.3,89.80619999999999,1015.461,2116.7,11.929,197.35,126.56,10.6633,0.4367,10.2273,272.71,93429.0,0.4620999999999999,112.6214,47.4554,31.62,99.7383,25110.007100000003,0.0,0.0,25171.0,-50.9015,1002.06,29812.0,2998.46,1940.57,13.5025,16.224600000000002,3.0875,6.5593,21.6352,92050.0,38241.0,270.87,68.49,60.266000000000005,9.0163,0.3846,126.708,6.022200000000001,3.4298,0.0,2.5912,101.28,104652.0,0.535135542477763,68.7045720428326,30.2712747823312,113.686051674238,21155.1647810309,0.0,10.8365665249108,19.29376114223,3.2762393389988,6.21169516019895,65.2116,417.4992,1055.7604,619.6410000000001,1573.6,0.0,367.59,13.0217,0.0,0.0,13.0217,82.247,0.0,82.247,345.29,0.0,345.29,137.859,0.0,137.859,0.3388,3.1328,6.1327,3.1926,125.18,125.18,0.068,2.5929,75.104,1.6813,0.0,1.6813,24.0509,0.0,24.0509,40.051,0.0,40.051,0.3386,3.1328,6.1324,3.1926,0.0,0.068,2.5929,70.894,0.1253,0.0,68.78,9.4898,0.0002,0.3846,0.0,0.0,0.0,0.0,127.996,2.3665,0.0,2.3665,11.7006,0.0,11.7006,113.916,6.022200000000001
2060,8.8749,138.9307,8.8749,1125.7457,93.5283,4547.6,109.006,1300.042,2271.6000000000004,14.877,261.68,69.28,5.8652,0.4391,5.4259,515.5699999999999,129310.0,0.4633,119.693,52.0805,31.1912,102.4937,30886.990100000003,0.0,0.0,30915.0,-20.8899,1097.94,35877.0,3052.7813,1920.8313,13.8294,17.3782,3.134,6.622800000000001,21.6779,110844.0,44202.0,306.1,79.218,69.45599999999999,10.1797,0.5544,141.56099999999998,5.16,2.7894,0.0,2.3703,117.685,133017.0,0.542216624517449,74.6268610332919,29.7842151874422,118.680116711666,25902.8119720657,0.0,11.4519106257758,21.266084690517,3.35906441215957,6.80914751368944,65.2116,417.4992,1055.3827,619.6362,1672.8000000000002,0.0,430.92,14.1512,0.0,0.0,14.1512,127.068,0.0,127.068,405.73,0.0,405.73,152.33800000000002,0.0,152.33800000000002,0.4294,4.037,9.2881,1.7478,126.31,126.31,0.0407,4.781,86.858,2.0519,0.0,2.0519,30.7921,0.0,30.7921,42.979,0.0,42.979,0.4223,4.037,9.2814,1.7478,0.0,0.0407,4.781,81.693,0.0,0.0,79.164,10.7154,0.0070999999999999,0.5544,0.0,0.0,0.0,0.0,142.877,2.9425,0.0,2.9425,24.9794,0.0,24.9794,114.957,5.16
2070,15.2901,148.7449,15.2901,1156.919,91.9217,5468.0,112.30599999999998,1645.466,2294.1,15.784,397.29,26.556,70.7279,2.6314,68.0899,905.79,162550.0,0.4576999999999999,118.1425,48.8223,30.1845,101.6408,35239.0003,0.0,0.0,35268.0,-24.6547,1200.28,40306.0,3107.2098,1890.4598,13.893999999999998,18.2081,3.1136,6.680299999999999,21.2751,127805.0,48941.0,337.81,90.973,82.124,9.9409,0.8304999999999999,149.101,4.852600000000001,2.4912,0.0,2.3612,128.758,167520.0,0.535503030334782,74.2072772266577,28.7749246459126,120.821616567021,29853.1286959879,0.0,11.742203564942,22.6876124857219,3.42604122496875,7.35134884499244,65.2116,417.0993,1055.9459,619.6362,1761.0,0.0,483.79,14.7797,0.0,0.0,14.7797,163.185,0.0,163.185,453.49,0.0,453.49,166.219,0.0,166.219,0.5929,5.809,14.8283,0.67,124.099,124.099,0.4620999999999999,7.962899999999999,99.903,2.1505,0.0,2.1505,38.9855,0.0,38.9855,43.407,0.0,43.407,0.448,5.809,14.683700000000002,0.67,0.0,0.4620999999999999,7.962899999999999,96.618,0.0,0.0378,93.423,10.4638,0.1449,0.8304999999999999,0.0,0.0,0.0,0.0,150.127,3.2593,0.0,3.2593,33.935,0.0,33.935,112.941,4.852600000000001
2080,11.0836,156.2235,11.0836,1188.0285,88.84100000000001,6929.3,115.5061,1978.4,2311.2,15.784,545.83,43.4043,398.81000000000006,20.514,378.219,1521.54,214010.0,0.4584,118.9023,48.4258,28.6923,100.2796,38564.0391,0.0,0.0,38600.0,-38.5209,1296.59,43760.0,3174.6226,1863.2926,13.9067,18.9987,3.1340000000000003,6.7301,20.8731,154462.0,57202.0,377.73,106.66,93.862,9.2399,1.3956,162.01999999999998,4.5589,2.2794,0.0,2.2794,145.41,208230.0,0.535876831743395,77.0439737426137,27.3198558950088,123.828827577985,33065.2604476742,0.0,11.968759044119,24.1630867752772,3.52880166473055,7.65655107639067,65.2116,412.8944,1055.8542,619.6362,1833.6,0.0,535.26,15.5054,0.0,0.0,15.5054,180.281,0.0,180.281,494.6,0.0,494.6,178.166,0.0,178.166,1.2862,7.527799999999999,24.078,1.0950000000000002,136.175,136.175,2.6719,12.5913,117.214,2.2502,0.0,2.2502,46.8992,0.0,46.8992,43.726,0.0,43.726,0.448,7.527799999999999,23.239,1.0950000000000002,0.0,2.6719,12.5913,110.435,0.0,0.3645,106.224,9.7258,0.8382,1.3956,0.0,0.0,0.0,0.0,162.64,3.5882,0.0,3.5882,35.119,0.0,35.119,123.932,4.5589
2090,43.2267,160.5412,43.2267,1184.9573,82.6996,9147.0,140.00600000000003,2200.52,2224.0,15.636,627.8399999999999,97.7633,1339.93,98.081,1242.03,2501.08,264890.0,0.4450999999999999,127.9462,56.77759999999999,26.7322,93.1413,38841.0374,0.0,0.0,38903.0,-66.0586,1335.61,44301.0,3202.0111,1803.3811,13.5106,18.8947,3.1182,6.7553,19.8817,170296.0,62462.0,403.84,123.991,102.778,10.1122,2.366,160.218,4.3906,2.1953,0.0,2.1953,149.461,254880.0,0.516382494995656,85.4173456733308,25.5736354763736,120.364647480465,33360.7797498764,0.0,11.755143097296,23.8146617016235,3.56100532754042,7.35332105726801,65.2116,409.21,1056.1149,619.6362,1885.3,0.0,559.47,17.0878,0.0,0.0,17.0878,176.17000000000002,0.0,176.17000000000002,499.84,0.0,499.84,183.168,0.0,183.168,3.3686000000000003,8.433,40.001,2.4664,140.531,140.531,9.1823,19.0182,136.536,2.6605000000000003,0.0,2.6605000000000003,52.242,0.0,52.242,42.082,0.0,42.082,0.4438,8.433,37.078,2.4664,0.0,9.1823,19.0182,120.915,0.0,1.4106999999999998,114.941,10.6436,2.9247,2.366,0.0,0.0,0.0,0.0,160.627,3.9342,0.0,3.9342,28.797,0.0,28.797,127.901,4.3906
2100,111.1055,161.7821,111.1055,1179.4279,73.8703,11753.1,196.7061,2286.8,1900.0,15.784,667.34,202.7236,2959.6800000000003,337.5111,2621.77,3523.2,319820.0,0.4262,133.9165,47.4632,24.4995,85.8333,38456.003,0.0,0.0,38570.0,-117.817,1365.45,44101.0,3201.3629,1741.3029,12.8704,18.1306,3.0905,6.3935,18.9555,177600.0,71573.0,421.24,139.079,111.929,12.0363,3.909100000000001,149.681,4.5719,2.2811000000000003,0.0,2.2906,152.115,308490.0,0.470770724961231,94.009752314352,23.5621709154908,114.718007545296,33246.4766336813,0.0,11.1372887111647,22.2056107217127,3.55810085058445,6.51569627358817,65.2116,403.6273,1056.506,619.6362,1916.1,0.0,577.16,19.6072,0.0,0.0,19.6072,180.18,0.0,180.18,492.18,0.0,492.18,181.204,0.0,181.204,6.010700000000001,8.789000000000001,60.237,5.1147,130.801,130.801,20.2657,25.1755,153.67000000000002,3.5174,0.0,3.5174,54.405,0.0,54.405,35.951,0.0,35.951,0.448,8.789000000000001,54.669,5.1147,0.0,20.2657,25.1755,131.683,0.0,3.5339,123.613,12.6698,5.5627,3.909100000000001,0.0,0.0,0.0,0.0,149.857,4.1462,0.0,4.1462,26.6667,0.0,26.6667,119.047,4.5719
